step,tag,value
21394,Debug/YOLO_Max_Class_ID,1.0
21444,Debug/YOLO_Max_Class_ID,1.0
21494,Debug/YOLO_Max_Class_ID,1.0
21544,Debug/YOLO_Max_Class_ID,1.0
21594,Debug/YOLO_Max_Class_ID,1.0
21644,Debug/YOLO_Max_Class_ID,1.0
21694,Debug/YOLO_Max_Class_ID,1.0
21744,Debug/YOLO_Max_Class_ID,1.0
21794,Debug/YOLO_Max_Class_ID,1.0
21844,Debug/YOLO_Max_Class_ID,1.0
21894,Debug/YOLO_Max_Class_ID,1.0
21944,Debug/YOLO_Max_Class_ID,1.0
21987,Debug/YOLO_Max_Class_ID,1.0
22037,Debug/YOLO_Max_Class_ID,1.0
22087,Debug/YOLO_Max_Class_ID,1.0
22137,Debug/YOLO_Max_Class_ID,1.0
22187,Debug/YOLO_Max_Class_ID,1.0
22237,Debug/YOLO_Max_Class_ID,1.0
22287,Debug/YOLO_Max_Class_ID,1.0
22337,Debug/YOLO_Max_Class_ID,1.0
22387,Debug/YOLO_Max_Class_ID,1.0
22437,Debug/YOLO_Max_Class_ID,1.0
22487,Debug/YOLO_Max_Class_ID,1.0
22537,Debug/YOLO_Max_Class_ID,1.0
22587,Debug/YOLO_Max_Class_ID,1.0
22637,Debug/YOLO_Max_Class_ID,1.0
22687,Debug/YOLO_Max_Class_ID,1.0
22737,Debug/YOLO_Max_Class_ID,1.0
22787,Debug/YOLO_Max_Class_ID,1.0
22837,Debug/YOLO_Max_Class_ID,1.0
22887,Debug/YOLO_Max_Class_ID,1.0
22937,Debug/YOLO_Max_Class_ID,1.0
22987,Debug/YOLO_Max_Class_ID,1.0
23037,Debug/YOLO_Max_Class_ID,1.0
23087,Debug/YOLO_Max_Class_ID,1.0
23137,Debug/YOLO_Max_Class_ID,1.0
23187,Debug/YOLO_Max_Class_ID,1.0
23237,Debug/YOLO_Max_Class_ID,1.0
23287,Debug/YOLO_Max_Class_ID,1.0
23337,Debug/YOLO_Max_Class_ID,1.0
23387,Debug/YOLO_Max_Class_ID,1.0
23437,Debug/YOLO_Max_Class_ID,1.0
23487,Debug/YOLO_Max_Class_ID,1.0
23537,Debug/YOLO_Max_Class_ID,1.0
23587,Debug/YOLO_Max_Class_ID,1.0
23637,Debug/YOLO_Max_Class_ID,1.0
23687,Debug/YOLO_Max_Class_ID,1.0
23737,Debug/YOLO_Max_Class_ID,1.0
23787,Debug/YOLO_Max_Class_ID,1.0
23837,Debug/YOLO_Max_Class_ID,1.0
23887,Debug/YOLO_Max_Class_ID,1.0
23937,Debug/YOLO_Max_Class_ID,1.0
23987,Debug/YOLO_Max_Class_ID,1.0
24037,Debug/YOLO_Max_Class_ID,1.0
0,Debug/YOLO_Num_Targets,382.1666564941406
50,Debug/YOLO_Num_Targets,433.9166564941406
100,Debug/YOLO_Num_Targets,313.1666564941406
150,Debug/YOLO_Num_Targets,324.4166564941406
200,Debug/YOLO_Num_Targets,378.75
250,Debug/YOLO_Num_Targets,358.6666564941406
300,Debug/YOLO_Num_Targets,431.75
350,Debug/YOLO_Num_Targets,344.0833435058594
400,Debug/YOLO_Num_Targets,393.75
450,Debug/YOLO_Num_Targets,374.8333435058594
500,Debug/YOLO_Num_Targets,403.25
550,Debug/YOLO_Num_Targets,358.0833435058594
600,Debug/YOLO_Num_Targets,353.3333435058594
650,Debug/YOLO_Num_Targets,436.4166564941406
700,Debug/YOLO_Num_Targets,394.9166564941406
750,Debug/YOLO_Num_Targets,370.1666564941406
800,Debug/YOLO_Num_Targets,281.1666564941406
850,Debug/YOLO_Num_Targets,393.1666564941406
900,Debug/YOLO_Num_Targets,322.5
950,Debug/YOLO_Num_Targets,394.5833435058594
1000,Debug/YOLO_Num_Targets,430.5833435058594
1050,Debug/YOLO_Num_Targets,402.6666564941406
1100,Debug/YOLO_Num_Targets,346.0
1150,Debug/YOLO_Num_Targets,348.3333435058594
1200,Debug/YOLO_Num_Targets,356.5
1250,Debug/YOLO_Num_Targets,514.3333129882812
1300,Debug/YOLO_Num_Targets,379.4166564941406
1350,Debug/YOLO_Num_Targets,436.8333435058594
1400,Debug/YOLO_Num_Targets,419.1666564941406
1450,Debug/YOLO_Num_Targets,440.6666564941406
1500,Debug/YOLO_Num_Targets,338.25
1550,Debug/YOLO_Num_Targets,428.1666564941406
1600,Debug/YOLO_Num_Targets,369.5833435058594
1650,Debug/YOLO_Num_Targets,406.3333435058594
1700,Debug/YOLO_Num_Targets,335.9166564941406
1750,Debug/YOLO_Num_Targets,282.3333435058594
1800,Debug/YOLO_Num_Targets,345.75
1850,Debug/YOLO_Num_Targets,396.25
1900,Debug/YOLO_Num_Targets,396.9166564941406
1950,Debug/YOLO_Num_Targets,409.8333435058594
2000,Debug/YOLO_Num_Targets,373.6666564941406
2050,Debug/YOLO_Num_Targets,386.0833435058594
2100,Debug/YOLO_Num_Targets,324.25
2150,Debug/YOLO_Num_Targets,387.75
2200,Debug/YOLO_Num_Targets,403.0
2250,Debug/YOLO_Num_Targets,423.5833435058594
2300,Debug/YOLO_Num_Targets,354.5
2350,Debug/YOLO_Num_Targets,321.75
2400,Debug/YOLO_Num_Targets,362.3333435058594
2443,Debug/YOLO_Num_Targets,417.0833435058594
2493,Debug/YOLO_Num_Targets,372.1666564941406
2543,Debug/YOLO_Num_Targets,341.5
2593,Debug/YOLO_Num_Targets,350.25
2643,Debug/YOLO_Num_Targets,364.25
2693,Debug/YOLO_Num_Targets,300.5833435058594
2743,Debug/YOLO_Num_Targets,382.0
2793,Debug/YOLO_Num_Targets,395.5833435058594
2843,Debug/YOLO_Num_Targets,398.5833435058594
2893,Debug/YOLO_Num_Targets,307.9166564941406
2943,Debug/YOLO_Num_Targets,407.5833435058594
2993,Debug/YOLO_Num_Targets,455.6666564941406
3043,Debug/YOLO_Num_Targets,412.25
3093,Debug/YOLO_Num_Targets,430.5
3143,Debug/YOLO_Num_Targets,347.4166564941406
3193,Debug/YOLO_Num_Targets,327.0
3243,Debug/YOLO_Num_Targets,391.9166564941406
3293,Debug/YOLO_Num_Targets,295.6666564941406
3343,Debug/YOLO_Num_Targets,348.0833435058594
3393,Debug/YOLO_Num_Targets,363.0
3443,Debug/YOLO_Num_Targets,335.5833435058594
3493,Debug/YOLO_Num_Targets,313.0833435058594
3543,Debug/YOLO_Num_Targets,445.75
3593,Debug/YOLO_Num_Targets,437.9166564941406
3643,Debug/YOLO_Num_Targets,346.5
3693,Debug/YOLO_Num_Targets,367.0
